Samples,DNA/RNA,sample type(N/P/E),location name,sublocation,select object/sampling place,select surface material,select ground level,Traffic at the sampling location,temperature,date and time,Sampling Date,Month,Year,Year_categorical,is_kiosk,is_Rod,QUBIT (ng/?L)
368259737,DNA,E,CMBT,Metro,Ticket Counter,Ceramic,,20 to 30,,13:55,13/01/2022,Jan,2022,Batch_2,Other,Other,TL
368259701,DNA,E,CMBT,Metro,Kiosk,Glass,,,,13:59,13/01/2022,Jan,2022,Batch_2,Kiosk,Other,0.11
368258345,DNA,E,CMBT,Train,Rod,Metal,,,,14:11,13/01/2022,Jan,2022,Batch_2,Other,Rod,TL
368258423,DNA,E,Vadapalani,Metro,Kiosk,Glass,,,,14:31,13/01/2022,Jan,2022,Batch_2,Kiosk,Other,TL
368259698,DNA,E,Airport,Metro,Ticket Counter,Ceramic,,50+,,15:47,13/01/2022,Jan,2022,Batch_2,Other,Other,TL
368297838,DNA,E,Airport,Metro,Kiosk,Glass,,,,15:55,13/01/2022,Jan,2022,Batch_2,Kiosk,Other,TL
368259776,DNA,E,Meenambakkam,Train,Rod,Metal,,,,16:33,13/01/2022,Jan,2022,Batch_2,Other,Rod,TL
368258351,DNA,E,Alandur,Metro,Ticket Counter,Ceramic,,10 to 20,,16:43,13/01/2022,Jan,2022,Batch_2,Other,Other,TL
368246110,DNA,E,Alandur,Metro,Kiosk,Glass,,,,16:53,13/01/2022,Jan,2022,Batch_2,Kiosk,Other,TL
368259718,DNA,E,Guindy,Metro,Ticket Counter,Ceramic,,20 to 30,,17:11,13/01/2022,Jan,2022,Batch_2,Other,Other,TL
